Timestamp,Dataset,Loss_Type,Avg_Accuracy,Avg_AUC,Avg_AUPR,Avg_Recall,Avg_Precision,Learning_rate,Epoch,Batch_size,Patience,decay_interval,lr_decay,weight_decay,embed_dim,protein_kernel,drug_kernel,conv,char_dim,loss_epsilon
2026-03-10 11:51:50,Davis,PolyLoss,0.6900390625,0.7577173964290752,0.5750694728985783,0.6787043418332186,0.4753744612898794,0.0001,2,64,25,10,0.5,0.0001,64,"[4, 8, 12]","[4, 6, 8]",50,64,1
2026-03-10 12:08:55,Davis,PolyLoss,,,,,,0.0001,100,64,25,10,0.5,0.0001,64,"[4, 8, 12]","[4, 6, 8]",50,64,1
