Epoch,Train_Loss,Valid_Loss,Valid_AUC,Valid_PRC,Valid_Accuracy,Valid_Precision,Valid_Recall
1,21.311550016069226,4.754591807723045,0.5408862158562604,0.3534868885417986,0.682861328125,0.40634920634920635,0.21676545300592717
2,3.15334483807189,0.8105277800932527,0.7437584510611847,0.5247205954283285,0.4482421875,0.337548931044866,0.9491955969517358
3,0.7602103647091045,0.6754005448892713,0.781832705661249,0.5999124069089393,0.561279296875,0.388647866955893,0.9102455546147333
4,0.5355062316595812,0.5334284720011055,0.808006994682821,0.6523822189133137,0.75146484375,0.5567153792623522,0.6773920406435224
5,0.5211955277604352,0.6286105015315115,0.8021289049167565,0.6438892746995905,0.630126953125,0.4300083822296731,0.8687552921253175
6,0.5156178348027315,0.5276411543600261,0.8126854150115538,0.6584807547789505,0.745361328125,0.5464333781965006,0.6875529212531752
7,0.5105653933977803,0.531456733122468,0.8112768927109189,0.6576052760004659,0.741943359375,0.5412234042553191,0.6892464013547841
8,0.5077648107179872,0.5166177833452821,0.8222583704538557,0.6720626181435095,0.753173828125,0.5568942436412316,0.7044877222692634
9,0.4964589524129949,0.5219235690310597,0.8190506344740843,0.6582211584619136,0.72509765625,0.5156338828880046,0.7679932260795935
10,0.4924096895331075,0.5034166099503636,0.8316613969322739,0.6928049554013102,0.763916015625,0.5713333333333334,0.7256562235393734
11,0.47651946127182776,0.5025679646059871,0.839189976224469,0.7018667849738506,0.730224609375,0.5209481808158766,0.8001693480101609
12,0.4633373077741393,0.4705904400907457,0.8563272396129105,0.7318876008290965,0.76513671875,0.5659241420830825,0.7959356477561389
13,0.4462173963799087,0.5163831589743495,0.8399443446333672,0.7074180815094072,0.796630859375,0.6638418079096046,0.5969517358171041
14,0.4460997859791559,0.45982596604153514,0.865312415126292,0.7484882012851264,0.801025390625,0.6314655172413793,0.7442845046570703
15,0.4260547407522276,0.49951372807845473,0.8444956813352641,0.7097850692434801,0.78857421875,0.6277372262773723,0.655376799322608
16,0.42938193017870535,0.47186438692733645,0.8602890535247188,0.7413112168107927,0.804443359375,0.6439393939393939,0.7197290431837426
17,0.41673555842633375,0.4823168874718249,0.8642084578147716,0.7389209782475203,0.7265625,0.5152576288144072,0.8721422523285352
18,0.424771387521395,0.45117265987209976,0.8702916242449417,0.7529987827340802,0.79833984375,0.6200135226504395,0.7764606265876376
19,0.40404626153090584,0.46155320620164275,0.8651944815205882,0.7465568210241849,0.79345703125,0.6157567380787837,0.7544453852667231
20,0.4052633742877945,0.4485034008976072,0.8774268978668831,0.7609408401480925,0.816162109375,0.6633587786259542,0.7358171041490262
21,0.3920867546291203,0.44138476392254233,0.8751109258514241,0.7663004080008315,0.796142578125,0.6150265957446809,0.7832345469940728
22,0.3943373974311213,0.44042679527774453,0.8789028107993488,0.7717211918979358,0.809326171875,0.6394700139470014,0.7764606265876376
23,0.37765149830148376,0.4494114750996232,0.878952772819499,0.7704928023807563,0.822265625,0.6839967506092608,0.7129551227773073
24,0.39467676621698683,0.4458830470684916,0.8816774457788629,0.7734022539961409,0.817138671875,0.6656441717791411,0.7349703640982218
25,0.37370571714430934,0.44714949233457446,0.8754323384984962,0.7559137202420723,0.7939453125,0.6094866796621182,0.79424216765453
